net,length_um
u_alu.B\[24\],429.04
u_branch_unit.rs1_val\[31\],428.9
u_branch_unit.rs2_val\[4\],428.35
u_branch_unit.rs2_val\[11\],427.91
u_pc_next_logic._0125_,427.72
u_branch_unit.rs1_val\[24\],427.1
u_branch_unit.rs2_val\[10\],426.65
u_alu.A\[13\],426.46
net236,424.26
net269,422.38
u_wb_mux._084_,421.74
u_pc_next_logic._0158_,418.92
u_alu.A\[12\],417.41
net265,415.38
u_branch_unit.rs1_val\[28\],414.9
u_branch_unit.rs2_val\[1\],414.38
u_branch_unit.rs2_val\[17\],414.35
u_pc_next_logic._0121_,413.555
u_branch_unit.rs2_val\[16\],413.1
u_alu._0297_,412.555
u_pc_next_logic._0146_,411.98
_102_,411.8
u_branch_unit.rs2_val\[9\],410.29
u_branch_unit.rs2_val\[0\],410.02
u_imem.addr\[4\],409.955
u_branch_unit.rs2_val\[15\],409.04
net355,408.14
u_branch_unit.rs2_val\[20\],406.65
u_branch_unit.rs2_val\[13\],406.59
u_alu.A\[14\],404.55
u_alu._0519_,402.085
net360,402
u_branch_unit.rs2_val\[28\],401.82
u_wb_mux._051_,401.12
u_branch_unit.rs2_val\[14\],401.11
u_branch_unit.rs1_val\[23\],400.52
u_decoder_controller.jalr,400.5
u_branch_unit.rs2_val\[29\],399.71
u_branch_unit.rs2_val\[3\],399.65
u_branch_unit.rs2_val\[2\],399.57
u_branch_unit.rs1_val\[30\],399.22
u_wb_mux._061_,398.62
u_branch_unit.rs1_val\[21\],397.5
net362,397.26
net357,396.7
u_branch_unit.rs1_val\[29\],395.88
u_alu.A\[8\],395.845
u_alu.Result\[0\],395.58
u_branch_unit.rs2_val\[8\],394.02
u_alu.ALUControl\[0\],393.78
u_wb_mux._053_,392.54
u_alu._0523_,389.88
u_pc_next_logic._0630_,389.83
net114,389.76
u_alu._0939_,389.425
u_alu._0647_,389.155
u_branch_unit.rs1_val\[15\],389.14
u_alu.B\[25\],387.82
net90,386.48
u_pc_next_logic._0110_,386.44
net87,385.46
u_wb_mux._045_,384.02
u_alu.A\[1\],378.98
u_pc_next_logic._0728_,378.83
u_alu._0493_,378.78
net372,378.62
u_branch_unit.rs2_val\[21\],377.72
u_wb_mux._055_,377.44
u_pc_next_logic._0258_,377.28
net378,377.26
u_branch_unit.rs1_val\[22\],377.08
u_alu._0279_,374.46
u_wb_mux._049_,373.36
u_branch_unit.rs1_val\[20\],371.88
u_branch_unit.rs1_val\[14\],371.16
net256,370.84
u_alu._0881_,369.56
u_alu.A\[31\],368.895
net238,367.3
u_alu._0410_,366.56
u_branch_unit.rs1_val\[13\],363.8
u_branch_unit.rs2_val\[22\],362.79
net235,362
u_wb_mux._047_,358.96
u_branch_unit.rs2_val\[23\],358.91
u_branch_unit.rs1_val\[17\],355.86
u_alu.A\[30\],355.44
net347,354.8
u_alu._0530_,353.92
_075_,352.16
u_alu._0220_,351.08
_073_,349.93
u_pc_reg._061_,349.84
u_alu._0656_,348.8
net384,347.82
u_alu._0311_,347.31
u_pc_next_logic._0702_,344.76
u_alu.B\[28\],344.42
u_alu._0631_,341.72
u_branch_unit.rs2_val\[27\],340.69
u_alu._0284_,339.68
u_alu._0375_,339.26
u_alu._0514_,337.455
u_alu._0548_,336.785
u_branch_unit.rs1_val\[10\],335.86
u_alu.B\[31\],335.43
u_pc_next_logic._0160_,335.1
u_branch_unit.rs2_val\[25\],330.47
net287,329.74
u_branch_unit.rs1_val\[18\],329.59
net46,328.1
net393,327.94
u_branch_unit.rs2_val\[26\],327.37
_076_,327.13
u_branch_unit.rs2_val\[24\],327.11
u_alu._0584_,326.97
u_decoder_controller.mem_read,325.8
u_wb_mux._043_,325.38
u_alu.B\[2\],324.8
