net,length_um
u_pc_next_logic.pc_plus4\[29\],87.88
u_alu._0927_,87.86
u_alu._0618_,87.64
u_branch_unit._007_,87.62
net226,87.42
u_pc_next_logic._0710_,87.4
_051_,87.22
net14,87.15
net24,87.1
u_pc_next_logic.pc_plus4\[24\],87.04
u_alu.B\[12\],86.84
u_regfile.rd2_sram\[15\],86.11
u_alu._0440_,85.86
u_pc_next_logic._0021_,85.74
u_pc_next_logic.pc_plus4\[22\],85.46
u_regfile.rd1_sram\[9\],85.18
net206,85.08
u_imm_gen.imm_i\[24\],85.02
u_pc_next_logic.pc_plus4\[17\],85
u_alu._0336_,84.98
u_alu._0449_,84.88
u_alu.Result\[16\],84.8
u_alu._0954_,84.74
u_imm_gen.imm_i\[17\],84.52
u_branch_unit._107_,84.48
u_alu._0587_,84.42
u_branch_unit._039_,84.3
u_pc_next_logic.pc_plus4\[27\],84.24
u_regfile.rd2_sram\[5\],84.06
u_alu._1116_,83.74
net111,83.54
u_regfile._006_,83.02
u_alu._0068_,82.855
u_regfile.rd2_sram\[4\],82.58
u_alu._1063_,82.42
net30,82.06
u_imm_gen.imm_i\[11\],82.04
net208,81.84
u_regfile.rd2_sram\[7\],81.79
u_alu._0762_,81.62
u_imm_gen.imm_i\[8\],81.3
net221,81.2
net27,81.05
u_imm_gen.imm_i\[13\],80.78
u_alu._0158_,80.74
u_alu._0895_,80.72
u_pc_next_logic._0701_,80.66
u_alu._0557_,80.42
u_imm_gen.imm_i\[21\],80.36
u_regfile.rd2_sram\[14\],80.16
u_wb_mux.pc_plus_imm\[30\],80.14
u_alu._0346_,80.1
u_pc_next_logic.pc_plus4\[5\],79.74
u_pc_next_logic.pc_plus4\[25\],79.64
u_alu._0356_,79.62
u_regfile._001_,79.46
u_pc_next_logic._0735_,79.12
u_alu._1025_,78.78
u_alu._0350_,78.2
u_alu._0513_,78.04
u_pc_next_logic.pc_plus4\[6\],77.98
net180,77.92
u_pc_next_logic._0270_,77.78
net258,77.78
u_alu._0879_,77.76
u_imm_gen.imm_i\[6\],77.66
u_wb_mux._034_,77.55
u_pc_next_logic._0071_,77.115
_081_,77
u_wb_mux._010_,76.985
u_alu._0043_,76.785
u_regfile.rd2_sram\[13\],76.54
u_alu._0444_,76.24
u_imm_gen.imm_i\[19\],76.24
u_alu._0811_,76.16
u_alu._0438_,76.08
u_alu._0994_,75.58
u_pc_next_logic._0458_,75.56
u_dmem.read_data\[3\],75.52
net182,75.4
u_wb_mux._035_,75.26
u_regfile.rd2_sram\[6\],75.05
u_alu._0948_,75.04
u_alu._0317_,74.82
u_alu._1106_,74.72
u_regfile.rd2_sram\[30\],74.71
u_regfile.rd2_sram\[16\],74.07
u_regfile.rd2_sram\[17\],74.01
u_alu._0371_,73.97
u_regfile._005_,73.965
u_imm_gen.imm_i\[1\],73.96
u_regfile.rd2_sram\[11\],73.85
u_pc_next_logic._0490_,73.8
u_regfile._002_,73.52
u_alu._0458_,73.5
u_alu._0711_,73.48
u_alu._0420_,73.42
u_dmem.read_data\[8\],73.4
u_imm_gen.imm_i\[14\],73.34
u_imm_gen.imm_i\[18\],73.255
u_alu._0539_,73.14
u_alu._0355_,72.98
u_alu._0598_,72.8
u_alu._0564_,72.73
u_dmem.read_data\[7\],72.66
u_regfile._012_,72.52
u_alu._0995_,72.16
u_dmem.read_data\[2\],72
u_branch_unit._057_,71.84
u_pc_next_logic._0649_,71.82
u_pc_next_logic.pc_plus4\[30\],71.62
u_alu._0628_,71.46
u_regfile.rd2_sram\[31\],71.43
u_alu._0819_,70.98
net84,70.74
net232,70.58
u_regfile.rd2_sram\[9\],70.53
net240,70.4
u_wb_mux._001_,70.24
u_alu._0333_,70.1
net190,70.04
u_regfile.rd2_sram\[3\],69.79
u_alu._0827_,69.76
u_regfile.rd2_sram\[12\],69.71
net539,69.5
_015_,69.46
u_alu._0891_,69.28
net349,69.28
u_regfile.rd2_sram\[10\],69.09
net28,68.94
u_alu._0161_,68.86
_082_,68.74
u_alu._0469_,68.52
u_dmem.dout0_sram\[0\],68.46
u_alu._0429_,68.43
u_alu._0869_,68.36
u_alu._0426_,68.28
net210,68.26
u_alu._0338_,68.06
u_pc_next_logic.pc_plus4\[26\],68.06
u_imm_gen.imm_i\[15\],67.76
net225,67.66
u_alu._0847_,67.54
u_regfile._013_,67.52
u_pc_next_logic.pc_plus4\[8\],67.5
u_alu._0906_,67.48
u_regfile._008_,67.44
net387,67.36
u_dmem.read_data\[6\],67.32
u_branch_unit._070_,67.26
u_alu._0577_,67.22
u_alu._0318_,67.14
u_alu._0930_,67.02
net326,67.02
u_wb_mux._059_,67.01
u_alu._0625_,66.94
_055_,66.72
u_alu._0391_,66.66
u_alu._0477_,66.44
u_alu._0883_,66.4
net202,66.38
u_alu._0526_,66.32
u_imm_gen.imm_i\[0\],66.28
u_alu._0330_,66.22
net187,66.02
u_regfile.rd2_sram\[27\],65.97
u_regfile.rd2_sram\[29\],65.67
u_alu._0046_,65.64
u_alu._0397_,65.64
u_pc_next_logic._0681_,65.63
u_alu._1090_,65.5
u_alu.B\[14\],65.435
u_regfile.rd2_sram\[2\],65.36
u_alu._0442_,65.3
net29,65.28
u_alu._0868_,64.96
u_regfile.rd2_sram\[24\],64.95
u_wb_mux._000_,64.88
u_alu._0322_,64.71
u_pc_next_logic.pc_plus4\[7\],64.66
u_regfile.rd2_sram\[26\],64.53
u_dmem._028_,64.43
u_alu._0335_,64.32
net116,64.18
u_alu._0898_,64.14
net17,64.07
u_pc_next_logic._0569_,63.94
u_pc_next_logic._0758_,63.92
u_alu._1006_,63.75
net333,63.72
u_wb_mux._060_,63.64
_017_,63.47
u_alu._1107_,63.38
u_alu._0196_,63.24
u_alu._0450_,63.16
u_alu._0287_,63.12
u_alu._0681_,62.98
u_alu._0826_,62.9
u_alu._0596_,62.76
u_pc_next_logic._0457_,62.68
u_alu._0953_,62.52
u_decoder_controller.wb_sel\[0\],62.52
u_pc_next_logic._0000_,62.42
u_pc_next_logic._0190_,62.42
u_pc_next_logic._0062_,62.18
net222,61.94
u_regfile.rd1_sram\[18\],61.82
u_alu._0861_,61.6
u_pc_next_logic._0492_,61.52
net214,61.38
net542,61.315
u_alu._0866_,61.14
net124,60.78
u_regfile._016_,60.66
u_alu._0452_,60.52
u_regfile.rd2_sram\[25\],60.41
u_pc_next_logic.pc_plus4\[10\],60.38
u_regfile.rd2_sram\[23\],60.18
u_alu._0428_,60.14
u_alu._0603_,60.08
u_regfile.rd2_sram\[28\],59.97
u_pc_next_logic._0271_,59.92
u_alu._0238_,59.9
u_alu._0446_,59.78
u_alu._0828_,59.62
u_decoder_controller._11_,59.58
u_pc_next_logic._0426_,59.52
net16,59.37
u_regfile._015_,59.34
u_wb_mux._009_,59.32
u_alu._1046_,59.2
u_pc_next_logic.pc_plus4\[11\],59.06
u_pc_next_logic.pc_plus4\[14\],58.92
u_alu._0984_,58.9
u_imm_gen.imm_u\[30\],58.9
u_regfile._007_,58.9
u_wb_mux.pc_plus_imm\[26\],58.74
u_alu._0463_,58.56
u_alu._0858_,58.44
u_pc_next_logic._0718_,58.38
u_alu._0737_,58.16
u_imm_gen.imm_u\[16\],58.04
u_alu._0437_,58.02
u_imm_gen.imm_i\[2\],57.9
u_pc_next_logic._0532_,57.82
u_alu._0651_,57.8
_024_,57.66
net336,57.52
u_branch_unit._073_,57.5
u_alu._0394_,57.46
u_alu._0831_,57.32
net15,57.3
u_alu._0634_,57.18
u_alu._0918_,57.08
u_alu._0187_,57.06
u_alu._0838_,56.94
u_pc_next_logic._0720_,56.84
u_alu._0419_,56.74
u_alu._0920_,56.62
_049_,56.56
_018_,56.46
u_alu._0820_,56.4
_084_,56.34
u_alu._0716_,56.3
u_alu.Result\[18\],56.22
u_pc_next_logic._0281_,56.18
u_alu._0538_,56.1
u_alu._0998_,55.94
u_pc_next_logic._0267_,55.68
u_alu._0607_,55.62
u_pc_next_logic._0322_,55.61
u_regfile.rd1_sram\[20\],55.59
u_alu._0946_,55.44
u_imem.addr\[6\],55.38
u_alu._0472_,55.26
u_imm_gen.imm_i\[20\],55.26
_010_,55.02
u_alu._0310_,54.98
u_alu._0968_,54.98
u_pc_next_logic.pc_plus4\[4\],54.84
u_pc_next_logic._0674_,54.82
u_alu._0652_,54.72
u_alu._0195_,54.68
u_imm_gen.imm_i\[3\],54.425
u_alu._0556_,54.4
u_regfile.rd2_sram\[1\],54.39
u_pc_next_logic.pc_next\[2\],54.24
u_alu._0150_,54.14
u_alu._0709_,53.8
_089_,53.76
u_pc_next_logic._0331_,53.6
u_alu._1016_,53.5
u_alu._0688_,53.42
u_pc_next_logic._0034_,53.405
_127_,53.2
u_pc_next_logic._0001_,53.2
u_alu._0962_,53.1
u_pc_next_logic._0614_,53.08
u_alu._0439_,53.06
u_alu._0772_,53.04
net398,53.01
u_pc_next_logic._0315_,52.88
u_alu._0185_,52.66
u_regfile.rd2_sram\[0\],52.61
u_alu._0791_,52.6
net310,52.56
u_alu._0659_,52.5
u_pc_next_logic._0302_,52.5
u_wb_mux._058_,52.48
u_alu._1012_,52.38
u_alu._0209_,52.2
u_alu_control.alu_op\[0\],52.2
u_imm_gen.imm_u\[29\],52.18
u_alu._0321_,52.12
u_alu._0570_,52.08
u_regfile.rd2_sram\[22\],52.07
u_alu._0459_,52.04
u_decoder_controller._02_,51.92
u_alu._0455_,51.78
u_wb_mux.pc_plus_imm\[27\],51.68
u_alu._1008_,51.56
u_pc_next_logic._0762_,51.54
u_alu._0718_,51.36
u_alu._0872_,51.32
u_regfile.rd1_sram\[10\],51.23
u_regfile.rd1_sram\[11\],51.01
u_regfile.rd1_sram\[19\],50.92
u_pc_next_logic._0679_,50.915
u_alu._0955_,50.86
net125,50.78
u_alu._0630_,50.56
u_alu._0347_,50.445
u_alu._0764_,50.375
u_alu._0993_,50.21
net11,50.17
_088_,50.12
u_alu._0502_,50.12
u_alu._0849_,50.08
u_alu._1093_,49.98
u_regfile.rd1_sram\[21\],49.89
u_pc_next_logic._0387_,49.86
u_alu._0610_,49.7
net18,49.57
u_regfile.rd2_sram\[19\],49.53
u_pc_next_logic._0571_,49.46
u_alu._1022_,49.36
u_pc_next_logic._0465_,49.18
u_regfile._004_,49.16
u_pc_next_logic._0486_,49.1
net348,49.1
net127,48.86
u_pc_next_logic._0082_,48.84
u_regfile.rd1_sram\[23\],48.81
u_decoder_controller._05_,48.8
u_pc_next_logic._0059_,48.58
u_pc_next_logic.pc_plus4\[31\],48.52
u_alu._0471_,48.44
u_alu._0467_,48.42
u_pc_next_logic._0290_,48.26
u_regfile.rd1_sram\[22\],48.07
u_alu._0054_,48.06
net244,47.99
u_pc_next_logic._0389_,47.98
u_wb_mux.pc_plus_imm\[25\],47.74
u_imm_gen.imm_u\[19\],47.64
u_alu._0388_,47.6
u_branch_unit._051_,47.58
net543,47.16
u_alu._0294_,47.12
u_imm_gen.imm_u\[17\],47.06
u_alu._1112_,47.04
_167_,47.02
u_alu._1076_,46.96
net31,46.95
u_pc_next_logic._0214_,46.94
u_pc_next_logic._0174_,46.8
u_pc_next_logic._0636_,46.72
u_alu._0958_,46.64
net213,46.64
u_alu._0982_,46.56
_019_,46.52
net189,46.37
u_alu._0091_,46.33
u_alu._0680_,46.32
u_decoder_controller.wb_sel\[2\],46.3
u_alu._0436_,46.18
u_alu._0555_,46.18
u_alu._0836_,46.02
u_pc_next_logic._0676_,45.72
u_imm_gen.imm_i\[23\],45.6
u_regfile.rd2_sram\[18\],45.45
u_alu._0797_,45.44
u_pc_next_logic._0376_,45.44
net26,45.43
u_alu._0552_,45.22
u_pc_next_logic._0559_,45.2
u_alu._0765_,45.14
u_alu._0217_,44.96
u_pc_next_logic._0686_,44.88
u_alu._0586_,44.82
u_pc_next_logic._0204_,44.82
u_alu._0905_,44.8
u_imm_gen.imm_u\[18\],44.74
_157_,44.72
u_alu._0825_,44.68
u_alu._0262_,44.56
u_alu.Result\[30\],44.44
u_imm_gen.imm_u\[14\],44.38
u_alu._0278_,44.28
u_alu._0682_,44.26
net207,44.18
u_alu._0741_,44.15
net172,44.1
net216,44.1
u_pc_next_logic._0250_,44.04
u_pc_next_logic._0404_,44
u_alu._0983_,43.96
u_alu._0293_,43.94
_185_,43.8
u_dmem.dout0_sram\[18\],43.79
_122_,43.76
u_alu._0541_,43.66
u_alu._0546_,43.66
u_alu._0792_,43.66
_149_,43.5
u_imm_gen.imm_i\[22\],43.495
u_pc_next_logic.pc_plus4\[3\],43.46
u_pc_next_logic._0187_,43.28
u_pc_next_logic._0288_,43.28
u_alu._0882_,43.27
u_pc_next_logic._0531_,43.24
u_alu._0733_,43.16
net9,43.04
u_pc_next_logic._0446_,43.02
net200,43
u_alu._1011_,42.98
u_alu._0374_,42.7
u_alu._0884_,42.7
u_dmem.dout0_sram\[13\],42.7
_026_,42.68
u_alu._0793_,42.68
u_alu.Result\[15\],42.66
u_alu._0757_,42.66
u_alu._0101_,42.58
u_alu._0460_,42.58
u_pc_next_logic._0435_,42.5
u_alu._0358_,42.46
u_pc_next_logic._0643_,42.42
u_alu.Result\[31\],42.4
u_alu._0112_,42.4
u_alu._0650_,42.275
u_alu._0418_,42.2
u_alu._0714_,42.1
u_alu._0045_,41.945
u_alu._0373_,41.92
u_alu._0660_,41.77
u_alu._0334_,41.7
u_alu._0874_,41.695
u_alu._0067_,41.64
u_regfile.rd1_sram\[27\],41.63
u_pc_next_logic._0769_,41.625
u_pc_next_logic._0515_,41.6
u_alu._0489_,41.56
u_alu._0582_,41.52
u_pc_next_logic._0651_,41.4
u_pc_next_logic._0656_,41.4
u_regfile.rd2_sram\[21\],41.33
u_alu._0300_,41.1
u_alu._0759_,41.1
u_imm_gen.imm_u\[23\],41.1
net181,41.04
u_dmem.dout0_sram\[14\],40.91
u_alu._1020_,40.9
u_alu._0331_,40.82
u_wb_mux.pc_plus_imm\[29\],40.82
u_pc_next_logic._0201_,40.78
_211_,40.68
u_alu._0464_,40.68
u_pc_next_logic._0633_,40.64
u_alu._0372_,40.52
u_pc_next_logic._0366_,40.48
u_pc_next_logic._0183_,40.38
u_alu._0506_,40.28
net175,40.22
u_dmem.dout0_sram\[12\],40.19
_214_,40.14
u_pc_next_logic._0323_,40.14
u_pc_next_logic._0575_,40.04
u_pc_next_logic._0556_,39.98
u_pc_next_logic._0670_,39.98
u_pc_next_logic._0707_,39.8
u_pc_next_logic._0386_,39.74
u_regfile.rd1_sram\[15\],39.61
u_regfile.rd1_sram\[14\],39.51
u_alu._0743_,39.48
_200_,39.46
u_decoder_controller.wb_sel\[1\],39.33
u_alu._1024_,39.06
u_alu._0319_,38.92
u_alu._0677_,38.82
u_pc_next_logic._0402_,38.82
u_pc_next_logic._0282_,38.8
u_alu._0608_,38.64
u_alu._0076_,38.605
u_alu._0611_,38.6
u_imm_gen.imm_i\[5\],38.58
u_imm_gen.imm_j\[18\],38.46
u_alu._0617_,38.38
u_alu._1040_,38.32
u_dmem.dout0_sram\[11\],38.3
u_regfile._011_,38.24
u_pc_next_logic._0105_,38.12
u_pc_next_logic._0085_,38.08
_251_,37.9
u_pc_next_logic.pc_plus4\[16\],37.9
u_pc_next_logic.pc_plus4\[9\],37.88
u_alu._0641_,37.82
u_pc_next_logic._0172_,37.82
u_pc_next_logic._0749_,37.8
u_alu._0200_,37.74
_016_,37.72
u_alu._0299_,37.705
u_pc_next_logic._0765_,37.7
u_pc_next_logic._0680_,37.6
_196_,37.58
u_alu._0290_,37.54
u_pc_next_logic._0180_,37.5
u_pc_next_logic._0650_,37.48
u_alu._0987_,37.42
net382,37.42
u_alu._0666_,37.4
u_regfile.rd1_sram\[24\],37.33
u_regfile.rd1_sram\[12\],37.31
_110_,37.28
u_alu._0818_,37.2
_190_,37.18
u_alu._0077_,37.14
_219_,37.02
u_pc_next_logic._0603_,37
u_regfile.rd1_sram\[13\],36.97
u_alu._0462_,36.94
u_pc_next_logic._0006_,36.86
u_pc_next_logic._0553_,36.86
u_decoder_controller._08_,36.82
u_alu._0748_,36.76
_014_,36.74
u_pc_next_logic._0332_,36.72
u_alu._0447_,36.64
u_pc_next_logic._0506_,36.54
u_alu._0940_,36.46
u_pc_next_logic.pc_plus4\[12\],36.42
u_dmem.dout0_sram\[27\],36.35
u_alu._0693_,36.26
u_dmem.dout0_sram\[21\],36.21
u_alu._0736_,36.06
u_alu._0476_,36.04
u_pc_next_logic._0474_,36.02
u_pc_next_logic._0746_,35.88
u_pc_next_logic._0543_,35.86
u_pc_next_logic._0227_,35.76
u_alu._0039_,35.72
u_alu._0413_,35.46
_207_,35.43
u_pc_next_logic._0153_,35.42
u_alu._0581_,35.38
u_alu._0909_,35.38
u_pc_next_logic._0715_,35.38
u_alu._0461_,35.34
u_imm_gen.imm_u\[15\],35.34
u_alu._0893_,35.205
u_dmem.dout0_sram\[20\],35.15
u_alu._0443_,35.12
u_alu._0047_,35.08
net366,35.045
u_dmem.dout0_sram\[24\],34.99
u_pc_next_logic._0318_,34.88
u_dmem.dout0_sram\[15\],34.87
u_pc_next_logic._0369_,34.84
u_pc_next_logic._0683_,34.84
u_pc_next_logic._0766_,34.84
u_wb_mux.pc_plus_imm\[20\],34.8
u_pc_next_logic._0428_,34.76
u_pc_next_logic._0215_,34.74
u_regfile.rd2_sram\[20\],34.73
_155_,34.66
u_dmem.dout0_sram\[23\],34.65
_165_,34.6
u_pc_next_logic._0325_,34.6
u_pc_next_logic._0589_,34.54
u_pc_next_logic._0035_,34.52
u_alu._0547_,34.48
u_regfile.rd1_sram\[26\],34.45
u_regfile.rd1_sram\[28\],34.41
u_alu._0777_,34.4
_009_,34.38
u_regfile.rd1_sram\[25\],34.35
u_alu._0479_,34.34
u_alu._0655_,34.34
u_pc_next_logic._0244_,34.32
u_pc_next_logic._0500_,34.18
u_alu._1044_,34.14
u_dmem.dout0_sram\[16\],34.09
u_alu._0270_,34.06
u_alu._1039_,34.06
u_pc_next_logic._0471_,34.04
u_alu._0069_,34.02
u_pc_next_logic._0246_,33.96
u_pc_next_logic._0661_,33.96
u_alu._0146_,33.92
u_pc_next_logic._0484_,33.92
u_dmem.dout0_sram\[28\],33.81
_001_,33.8
_146_,33.8
u_dmem.dout0_sram\[17\],33.77
u_pc_next_logic._0046_,33.72
u_pc_next_logic._0371_,33.68
_012_,33.64
u_pc_next_logic._0662_,33.62
u_pc_next_logic._0525_,33.6
u_branch_unit._094_,33.58
u_alu._0255_,33.54
u_alu._0936_,33.5
u_alu._0969_,33.5
u_dmem.dout0_sram\[9\],33.49
u_pc_next_logic._0096_,33.44
u_alu._0921_,33.42
u_alu._0160_,33.38
u_pc_next_logic._0705_,33.36
u_alu._0092_,33.3
u_pc_next_logic._0511_,33.3
u_pc_next_logic._0292_,33.26
u_alu._0348_,33.22
u_pc_next_logic._0041_,33.22
u_pc_next_logic._0684_,33.2
u_alu._0663_,33.04
u_pc_next_logic._0761_,33.02
u_pc_next_logic._0078_,33
u_pc_next_logic._0170_,32.98
u_pc_next_logic._0558_,32.92
u_pc_next_logic._0753_,32.76
u_imm_gen.imm_u\[20\],32.72
_042_,32.68
u_pc_next_logic._0358_,32.62
u_pc_next_logic._0756_,32.62
_180_,32.58
u_alu._0060_,32.56
u_alu._0723_,32.52
u_alu.Result\[14\],32.46
u_pc_next_logic._0608_,32.44
u_alu._1061_,32.22
u_imm_gen.imm_u\[12\],32.18
u_alu._1105_,32.16
u_pc_next_logic._0327_,32.12
u_pc_next_logic._0594_,32.1
u_pc_next_logic._0298_,32.08
u_pc_next_logic._0191_,32.04
u_alu._0871_,32
u_dmem.dout0_sram\[22\],32
_130_,31.96
u_alu._0961_,31.96
u_dmem.dout0_sram\[26\],31.85
u_alu._0133_,31.78
u_pc_next_logic._0419_,31.74
_067_,31.68
u_alu.Result\[17\],31.58
u_alu._0470_,31.56
u_alu._0740_,31.56
u_imm_gen.imm_u\[24\],31.56
u_imm_gen.imm_i\[4\],31.53
u_pc_next_logic._0666_,31.495
u_pc_next_logic._0255_,31.46
u_alu._1014_,31.2
net233,31.195
_144_,31.16
u_pc_next_logic._0233_,31.08
u_alu._1067_,31
u_alu.Result\[29\],30.96
_068_,30.92
_203_,30.92
u_alu._0754_,30.92
u_alu._0786_,30.92
u_alu._0985_,30.92
u_alu._0304_,30.9
u_pc_next_logic._0671_,30.88
u_alu._0668_,30.84
u_alu._0758_,30.84
u_alu._0560_,30.82
u_pc_next_logic._0203_,30.78
u_wb_mux.pc_plus_imm\[28\],30.7
u_alu._0024_,30.68
u_alu._0044_,30.645
u_pc_next_logic._0612_,30.54
u_alu._0543_,30.52
u_pc_next_logic._0379_,30.52
u_alu._0328_,30.48
u_branch_unit._105_,30.48
u_imm_gen.imm_j\[10\],30.48
u_pc_next_logic._0440_,30.44
u_alu._0776_,30.36
u_alu._0159_,30.34
u_alu._1087_,30.32
u_pc_next_logic._0321_,30.28
u_dmem.dout0_sram\[10\],30.17
u_pc_next_logic._0283_,30.16
net188,30.12
u_branch_unit._013_,30.06
u_pc_next_logic._0032_,30.04
u_pc_next_logic._0045_,29.94
u_regfile.rd1_sram\[16\],29.93
u_alu._0992_,29.82
u_pc_next_logic._0628_,29.82
u_pc_next_logic._0507_,29.74
u_alu._0785_,29.7
u_alu._0839_,29.7
u_alu._0403_,29.64
u_alu._0959_,29.64
u_pc_next_logic.pc_plus4\[15\],29.6
u_pc_next_logic._0285_,29.56
_141_,29.54
u_alu._0246_,29.54
u_pc_next_logic._0135_,29.54
net205,29.54
u_pc_next_logic._0022_,29.48
u_alu._0272_,29.38
u_alu._0850_,29.38
u_wb_mux._065_,29.38
u_pc_next_logic._0675_,29.32
u_alu._0887_,29.22
u_pc_next_logic._0418_,29.2
u_alu._0667_,29.12
u_dmem.dout0_sram\[25\],29.11
_187_,29.06
u_alu._0053_,29.04
u_pc_next_logic._0688_,29.04
u_pc_next_logic.pc_plus4\[13\],28.98
u_alu._0456_,28.94
u_alu._0742_,28.9
u_alu._0592_,28.86
net227,28.775
u_alu._1048_,28.76
u_pc_next_logic.pc_plus4\[21\],28.76
u_pc_next_logic._0424_,28.68
u_pc_next_logic._0086_,28.62
u_pc_next_logic._0459_,28.62
u_pc_next_logic._0580_,28.595
_006_,28.56
u_wb_mux.pc_plus_imm\[24\],28.54
u_imm_gen.imm_u\[13\],28.48
u_pc_next_logic._0460_,28.46
u_pc_next_logic._0597_,28.44
u_pc_next_logic._0235_,28.415
_044_,28.38
u_pc_next_logic._0691_,28.34
u_alu._0860_,28.22
u_regfile.rd1_sram\[29\],28.18
u_regfile.rd1_sram\[17\],28.15
u_pc_next_logic._0729_,28.12
u_alu._0645_,28.08
u_alu._0123_,28.06
u_pc_next_logic._0326_,28.04
_204_,27.96
u_alu._0834_,27.94
u_pc_next_logic._0299_,27.94
_213_,27.84
u_alu._0862_,27.755
u_alu._0717_,27.7
u_alu._0190_,27.66
u_alu._0434_,27.64
u_pc_next_logic._0687_,27.64
u_alu._0809_,27.6
u_alu._0915_,27.6
u_alu._0864_,27.58
u_alu._0327_,27.52
u_wb_mux._033_,27.5
u_pc_next_logic._0502_,27.48
u_alu._0488_,27.41
u_alu._0236_,27.36
u_imm_gen.imm_u\[21\],27.32
u_alu._0855_,27.26
u_dmem.dout0_sram\[19\],27.25
u_alu._0766_,27.22
u_pc_next_logic._0625_,27.18
_120_,27.16
u_alu._0829_,27.135
u_pc_next_logic._0668_,27.08
u_alu._0051_,27.02
u_alu._0593_,27.02
u_pc_next_logic._0678_,27.02
u_pc_next_logic._0620_,26.96
u_pc_next_logic._0185_,26.9
u_branch_unit._088_,26.895
u_pc_next_logic._0604_,26.88
u_pc_next_logic._0698_,26.845
u_alu._0062_,26.78
u_alu._1071_,26.74
u_pc_next_logic._0139_,26.68
_174_,26.64
u_alu._0095_,26.62
u_alu._0108_,26.62
u_alu._0815_,26.58
u_alu._0113_,26.56
u_pc_next_logic._0742_,26.52
u_alu._0956_,26.48
u_alu._0295_,26.36
u_pc_next_logic._0410_,26.3
u_dmem.csb0_sram,26.28
u_pc_next_logic._0654_,26.28
u_alu._0715_,26.235
u_regfile.rd1_sram\[31\],26.21
u_alu._1103_,26.18
_252_,26.16
u_pc_next_logic._0229_,26.16
u_alu._0894_,26.14
u_alu._1091_,26.14
u_alu._0081_,26.12
u_alu._0192_,26.1
u_alu._1060_,26.1
_222_,26.02
u_alu._0572_,25.98
u_pc_next_logic._0132_,25.94
u_pc_next_logic._0453_,25.9
u_pc_next_logic._0324_,25.74
u_regfile.rd1_sram\[30\],25.69
u_pc_next_logic._0415_,25.68
u_branch_unit._036_,25.64
u_pc_next_logic._0554_,25.64
u_alu._0313_,25.6
u_pc_next_logic._0351_,25.54
_040_,25.48
u_pc_next_logic._0622_,25.42
u_pc_next_logic._0624_,25.28
u_pc_next_logic._0341_,25.22
_145_,25.14
u_pc_next_logic._0660_,25.14
u_alu._0925_,25.12
u_alu._0215_,25.1
u_alu._0553_,25.035
u_decoder_controller._00_,25
u_pc_next_logic._0334_,25
_153_,24.98
u_pc_next_logic._0696_,24.98
u_branch_unit._018_,24.96
u_pc_next_logic._0487_,24.96
u_pc_next_logic._0721_,24.96
net21,24.96
u_pc_next_logic._0148_,24.94
u_alu._0473_,24.92
u_alu._0289_,24.84
u_imm_gen.imm_i\[7\],24.84
u_alu._0935_,24.76
u_pc_next_logic._0734_,24.76
_038_,24.72
u_pc_next_logic._0367_,24.66
u_pc_next_logic._0377_,24.66
u_pc_next_logic._0665_,24.6
u_alu._0097_,24.58
_066_,24.54
_126_,24.54
u_alu._0367_,24.54
u_branch_unit._027_,24.48
net224,24.48
_078_,24.46
_124_,24.46
u_pc_next_logic._0585_,24.46
u_pc_next_logic._0581_,24.435
_054_,24.34
u_alu._0323_,24.34
u_alu._0902_,24.34
net229,24.32
u_branch_unit._000_,24.3
_143_,24.18
u_pc_next_logic._0312_,24.14
_107_,24.1
u_pc_next_logic._0005_,24.1
u_alu._1073_,24.08
net69,24.08
_205_,24.06
_065_,24.04
u_pc_next_logic._0019_,24.04
u_pc_next_logic._0211_,24.04
u_alu._1115_,23.94
u_pc_next_logic._0599_,23.92
net66,23.92
_215_,23.88
_052_,23.86
u_alu._0145_,23.82
u_alu._0559_,23.82
u_alu._0298_,23.78
u_pc_next_logic._0175_,23.74
u_pc_next_logic._0380_,23.74
u_pc_next_logic._0449_,23.74
u_alu._0132_,23.68
_013_,23.66
u_pc_next_logic._0657_,23.66
u_alu._0796_,23.64
u_imm_gen.imm_u\[28\],23.64
u_alu._0398_,23.6
_079_,23.58
u_branch_unit._106_,23.565
u_alu._1102_,23.56
u_dmem.web0_sram,23.56
net228,23.54
u_alu._0268_,23.5
u_dmem._019_,23.5
u_pc_next_logic._0725_,23.46
u_branch_unit._041_,23.43
u_alu._1075_,23.42
u_pc_next_logic._0113_,23.42
u_pc_next_logic._0613_,23.37
u_decoder_controller._03_,23.35
_011_,23.34
u_alu.ALUControl\[1\],23.34
u_alu._1065_,23.34
u_alu._0307_,23.32
u_alu._0597_,23.305
u_alu._0308_,23.3
u_pc_next_logic._0391_,23.3
u_pc_next_logic._0499_,23.22
u_dmem._030_,23.2
u_pc_next_logic._0491_,23.2
u_pc_next_logic._0092_,23.16
u_pc_next_logic._0529_,23.16
u_alu._0182_,23.155
u_pc_next_logic._0161_,23.12
u_pc_next_logic._0520_,23.12
net32,23.09
u_pc_next_logic._0093_,23.08
u_alu._0094_,23.06
u_decoder_controller.reg_write,23.04
u_pc_next_logic._0606_,23.04
u_alu._0359_,23.03
u_pc_next_logic._0566_,22.98
u_alu._1089_,22.96
u_pc_next_logic._0655_,22.96
u_alu._0221_,22.92
u_pc_next_logic._0195_,22.92
u_alu.ALUControl\[3\],22.88
u_decoder_controller._01_,22.88
